gauge_id,lcm2007-woodland,lcm2007-arable-horticultural,lcm2007-grassland,lcm2007-mountain-heath-bog,lcm2007-urban
47009,0.0891,0.5039,0.3924,0.002,0.0122
47011,0.1377,0.0753,0.6279,0.1413,0.0089
47014,0.0886,0.068,0.6799,0.1554,0.0082
47018,0.1251,0.3612,0.5039,0.0039,0.0053
48003,0.1585,0.34,0.2809,0.1809,0.0363
48004,0.0729,0.1735,0.6076,0.136,0.0022
48005,0.0755,0.5548,0.2969,0.0126,0.0603
48011,0.1563,0.2047,0.5582,0.0481,0.0057
49001,0.1157,0.2764,0.5455,0.0349,0.024
49002,0.0811,0.593,0.2773,0.041,0.0068
49004,0.0659,0.5892,0.2996,0.0266,0.0183
50001,0.1133,0.2545,0.6092,0.0148,0.0078
50002,0.1311,0.3579,0.4815,0.021,0.0078
50006,0.104,0.0978,0.7807,0.0085,0.0089
50007,0.0997,0.3706,0.4087,0.1119,0.0086
50008,0.1384,0.3587,0.489,0.0083,0.0044
50011,0.1181,0.1872,0.5444,0.1228,0.0248
5003,0.1277,0.0005,0.2467,0.5875,0.0001
51001,0.1299,0.3286,0.4933,0.0265,0.0203
52004,0.0501,0.5004,0.3891,0.0015,0.0558
52005,0.0894,0.3003,0.5657,0.0058,0.0356
52006,0.0832,0.3538,0.4914,0.0008,0.0671
52007,0.0744,0.4269,0.4448,0.0027,0.0508
52009,0.0753,0.2883,0.5443,0.0048,0.0871
52010,0.0503,0.351,0.5753,0.0007,0.0218
52011,0.0566,0.5526,0.3409,0.0032,0.0465
52015,0.1608,0.3711,0.3842,0.0233,0.0519
52016,0.4329,0.1883,0.3451,0.0244,0.0084
53005,0.0668,0.4343,0.4246,0.0007,0.073
53006,0.0344,0.3565,0.3404,0.0057,0.2611
53007,0.1226,0.3784,0.4509,0.0068,0.0378
53008,0.0626,0.5052,0.4096,0.0015,0.0203
53009,0.0567,0.4664,0.3796,0.0015,0.0952
53013,0.0493,0.4559,0.4304,0.0054,0.0556
53017,0.0391,0.4153,0.5002,0.0071,0.0361
53018,0.073,0.4294,0.4374,0.0029,0.0556
53022,0.0739,0.4201,0.4418,0.0028,0.0597
53023,0.066,0.5222,0.3956,0.003,0.0128
53028,0.099,0.4719,0.3967,0.0003,0.0313
54001,0.1001,0.3141,0.5114,0.0398,0.0292
54002,0.0492,0.4874,0.3681,0.0042,0.0868
54003,0.1489,0.0021,0.2154,0.5722,0.0001
54004,0.0499,0.3888,0.2814,0.0057,0.2712
54005,0.1135,0.1183,0.6791,0.0743,0.0094
54007,0.0891,0.3848,0.4351,0.002,0.0853
54008,0.1057,0.3106,0.5343,0.0391,0.0093
54011,0.0551,0.4697,0.3487,0.0012,0.122
54012,0.062,0.5189,0.358,0.0095,0.0474
54015,0.0508,0.501,0.4023,0.0006,0.0443
54016,0.0519,0.4848,0.4164,0.0208,0.0223
54017,0.1029,0.5586,0.3063,0.002,0.0289
54018,0.0785,0.315,0.5755,0.0156,0.0144
54019,0.0346,0.4452,0.4168,0.0081,0.0891
54020,0.0404,0.4162,0.5045,0.0012,0.0313
54022,0.6478,0.0,0.1315,0.2195,0.0012
54024,0.0856,0.6326,0.2047,0.0009,0.0714
54025,0.0727,0.0617,0.8066,0.0573,0.0017
54027,0.1843,0.314,0.4344,0.0021,0.0633
54028,0.1398,0.0609,0.6461,0.1424,0.0033
54029,0.1093,0.3284,0.5205,0.0319,0.0089
54032,0.1006,0.3349,0.4799,0.0323,0.0479
54034,0.4436,0.2604,0.2797,0.0036,0.0122
54036,0.0912,0.4496,0.4197,0.0194,0.0195
54038,0.082,0.0583,0.7292,0.1267,0.0029
54044,0.1247,0.3729,0.4448,0.0155,0.0391
54048,0.0654,0.5876,0.314,0.0026,0.0275
54049,0.0312,0.5067,0.4046,0.0023,0.0462
54052,0.0371,0.3804,0.5628,0.0011,0.0159
54057,0.0851,0.3839,0.4461,0.0238,0.0566
54060,0.0458,0.7525,0.1955,0.0,0.0047
54063,0.0709,0.152,0.1858,0.001,0.5878
54080,0.2016,0.0516,0.6475,0.0779,0.0066
54095,0.0915,0.2808,0.5515,0.046,0.0251
54096,0.0651,0.6298,0.2725,0.0016,0.0293
55002,0.1019,0.1561,0.6341,0.0916,0.0084
55007,0.1083,0.0728,0.6822,0.1231,0.0067
55008,0.0121,0.0,0.9383,0.0481,0.0016
55013,0.0569,0.2172,0.6191,0.0942,0.0099
55014,0.1597,0.1759,0.6156,0.0437,0.0048
55016,0.0825,0.0895,0.7544,0.0654,0.0076
